seccion,producto,cantidad,n_transacciones,total,precio_promedio
Panadería de autor,Pan dulce relleno con diseño,3262.0,3035,9592000,2940.5272838749233
Panadería Japonesa,Korone pan,1559.0,1495,3257500,2089.4804361770366
Pastelería x mayor,Tiramisu stevia x 20,76.0,74,3095740,40733.42105263158
Café,Latte,748.0,713,2718600,3634.4919786096257
Panadería artesanal,Pan molde,860.0,851,2535700,2948.4883720930234
Pastelería japonesa,Cotton Cheesecake,849.0,690,2476100,2916.4899882214368
Frappé,Choco frappuccino,615.0,506,2460000,4000.0
Pastelería tradicional,Carrot cake,861.0,750,2410800,2800.0
Pastelería japonesa,Matcha roll cake,699.0,681,2337000,3343.3476394849786
Panadería Japonesa,Melonpan,1231.0,1142,2312200,1878.3103168155972
Frappé,Caramel frappuccino,522.0,439,2088000,4000.0
Pastelería tradicional,Tiramisu,652.0,638,2085300,3198.312883435583
Pastelería japonesa,Dorayakis,735.0,715,1991000,2708.843537414966
Ofertas,Oferta Melonpan,491.0,469,1702300,3467.0061099796335
Panadería artesanal,Focaccia,404.0,396,1602500,3966.5841584158416
Café,Moca Latte,399.0,382,1597900,4004.7619047619046
Café,Cappuccino,519.0,424,1557000,3000.0
Ofertas,Tokyo box 1,399.0,393,1516200,3800.0
Té - Infusiones,Matcha latte,380.0,363,1425400,3751.0526315789475
Café,Chocolate Caliente,440.0,361,1408000,3200.0
Preparaciones frías con té,Bubble Tea,217.0,209,992000,4571.428571428572
Ofertas,Oferta pan dulce relleno con diseño,276.0,244,966000,3500.0
Ofertas,Tokyo box 2,128.0,124,960000,7500.0
Panadería Japonesa,Sausage pan,312.0,236,818700,2624.0384615384614
Panadería Japonesa,Curry pan,177.0,172,816000,4610.169491525424
Té - Infusiones,Chai Latte,230.0,202,805000,3500.0
Panadería artesanal,Ciabatta,522.0,344,783000,1500.0
Ofertas,Oferta Chocolate caliente 2x1,236.0,226,755200,3200.0
Ofertas,Oferta menú del día,93.0,66,755000,8118.279569892473
Panadería artesanal,Baguette,747.0,398,747000,1000.0
Té - Infusiones,Té variedades,227.0,220,724500,3191.6299559471368
Preparaciones frías con té,Frappé,164.0,155,724000,4414.634146341464
Preparaciones frías con café,Iced latte,180.0,168,722300,4012.777777777778
Ofertas,Oferta korone pan,247.0,229,666900,2700.0
Café,Americano,282.0,270,663500,2352.8368794326243
Sandwich,TOKYO BOX,48.0,44,641900,13372.916666666666
Pastelería de autor,Neko tiramisú,223.0,176,626600,2809.865470852018
Ofertas,Tokyo box,82.0,79,615000,7500.0
