seccion,total
Panadería de autor,11622400
Ofertas,9082380
Café,8922700
Panadería Japonesa,8216300
Pastelería japonesa,7081400
Panadería artesanal,6408327
Pastelería tradicional,5577500
Frappé,4820000
Pastelería x mayor,3913860
Té - Infusiones,3095200
Preparaciones frías con té,1716000
Panadería x mayor,1195890
Pastelería de autor,1177400
Sandwich,949000
Preparaciones frías con café,796700
Otros bebestibles,779400
Galletas,320000
PROMOCIÓN EVENTO,80000
Otros métodos de preparación,18000
OTROS,3500
Arcade,2200
